CVE_ESCUELA_ATENCION,NOM_ESCUELA_ATENCION,REF_TURNO_ATENCION,REF_CICLO_ESCOLAR,CLAVECCT,NOMBRE_INMUEBLE,NIVEL,alcaldia,longitud,latitud,NUM_MATRICULA_TOTAL_ESCUELA,registros_salud,prioridad_atencion,pct_incompleto,pct_no_asistio,pct_caries,casos_caries,registros_caries,pct_visual,casos_visual,registros_visual,pct_sobrepeso_obesidad,casos_sobrepeso_obesidad,registros_sobrepeso_obesidad,imc_promedio,registros_imc,pct_alertas_multiples,casos_alertas_multiples,registros_alertas_multiples,alertas_promedio,completitud,casos_completos,registros_completitud
09DPR3044F,FRANCISCO GOITIA,VESPERTINO,2024-2025 | 2025-2026,09DPR3044F,FRANCISCO GOITIA,Primaria,GUSTAVO A. MADERO,-99.15157778,19.52920556,165,155,33.2903,7.7419,0,41.9355,65,155,74.1935,115,155,42.5806,66,155,19.7759,133,59.3548,92,155,1.6645,92.2581,143,155
09DPR5027C,LEONA VICARIO,MATUTINO,2024-2025 | 2025-2026,09DPR3048B,LEONA VICARIO,Primaria,GUSTAVO A. MADERO,-99.15285,19.54879444,345,321,33.271,19.0031,0,47.6636,153,321,63.2399,203,321,36.4486,117,321,18.4335,260,52.648,169,321,1.6636,80.9969,260,321
09DPR1369Y,ALEJANDRO DE HUMBOLDT,VESPERTINO,2024-2025 | 2025-2026,09DPR1365B,ALEJANDRO DE HUMBOLDT,Primaria,GUSTAVO A. MADERO,-99.12674444,19.503825,164,184,33.2609,15.2174,0,64.1304,118,184,59.2391,109,184,27.7174,51,184,19.5427,143,56.5217,104,184,1.663,84.7826,156,184
09DPR2563I,TLAMACHIHUAPAN,MATUTINO,2024-2025,09DPR2655Z,TLAMACHIHUAPAN,Primaria,XOCHIMILCO,-99.07363056,19.24300278,668,672,33.244,7.5893,0,41.6667,280,672,76.0417,511,672,40.9226,275,672,18.3654,621,57.7381,388,672,1.6622,92.4107,621,672
09DPR1044S,PLAN DE AYUTLA,MATUTINO,2024-2025 | 2025-2026,09DPR1044S,PLAN DE AYUTLA,Primaria,VENUSTIANO CARRANZA,-99.09669444,19.445675,274,192,33.2292,1.5625,0,62.5,120,192,54.1667,104,192,47.9167,92,192,20.2673,162,61.9792,119,192,1.6615,98.4375,189,192
09DPR2409P,DR. MIGUEL SILVA,MATUTINO,2025-2026,09DPR1725X,DR. MIGUEL SILVA,Primaria,MIGUEL HIDALGO,-99.20656389,19.45525833,220,233,33.2189,6.0086,0,51.073,119,233,66.0944,154,233,42.9185,100,233,19.3535,200,58.3691,136,233,1.6609,93.9914,219,233
09DPR1695T,MAESTRO ANTONIO CASO,MATUTINO,2024-2025 | 2025-2026,09DPR1695T,MAESTRO ANTONIO CASO,Primaria,MIGUEL HIDALGO,-99.19488056,19.44243611,129,103,33.2039,0,0,57.2816,59,103,66.9903,69,103,41.7476,43,103,18.9939,82,62.1359,64,103,1.6602,100,103,103
09DPR1935B,JOSEFA ORTIZ DE DOMÍNGUEZ,MATUTINO,2024-2025 | 2025-2026,09DJN1098F,JOSEFA ORTIZ DE DOMÍNGUEZ,Preescolar,IZTAPALAPA,-99.01217778,19.34653056,351,350,33.2,6.5714,0,38.2857,134,350,74.8571,262,350,46.2857,162,350,18.4309,327,58,203,350,1.66,93.4286,327,350
09DPR2706P,PROFR. RAFAEL CRUZ MANJARREZ,VESPERTINO,2024-2025 | 2025-2026,09DPR2713Z,PROFR. RAFAEL CRUZ MANJARREZ,Primaria,TLALPAN,-99.16844722,19.266075,321,229,33.1878,0.4367,0,84.2795,193,229,37.5546,86,229,43.6681,100,229,18.6722,227,58.0786,133,229,1.6594,99.5633,228,229
09DPR1927T,MARIANO ABASOLO,MATUTINO,2024-2025,09DPR1926U,MARIANO ABASOLO,Primaria,LA MAGDALENA CONTRERAS,-99.23381389,19.30567222,401,349,33.1805,10.3152,0,51.8625,181,349,58.1662,203,349,45.5587,159,349,19.3121,313,54.7278,191,349,1.659,89.6848,313,349
09DPR5038I,RUFINO TAMAYO,MATUTINO,2024-2025 | 2025-2026,09DPR5038I,RUFINO TAMAYO,Primaria,IZTAPALAPA,-99.00551389,19.37272222,604,522,33.1801,0.1916,0,56.1303,293,522,65.5172,342,522,44.0613,230,522,18.9408,500,59.5785,311,522,1.659,99.8084,521,522
09DPR1754S,CATORCE DE ABRIL,MATUTINO,2024-2025 | 2025-2026,09DPR1754S,CATORCE DE ABRIL,Primaria,MIGUEL HIDALGO,-99.18056944,19.40478333,310,269,33.1599,0.3717,0,47.5836,128,269,75.8364,204,269,42.0074,113,269,19.3742,240,61.71,166,269,1.658,99.6283,268,269
09DPR2148U,MAGISTERIO MEXICANO,MATUTINO,2024-2025 | 2025-2026,09DPR2148U,MAGISTERIO MEXICANO,Primaria,AZCAPOTZALCO,-99.197675,19.49001389,209,195,33.1282,31.2821,0,36.4103,71,195,62.5641,122,195,35.3846,69,195,19.0784,134,50.7692,99,195,1.6564,68.7179,134,195
09DPR4193U,DANIEL RAMIREZ PÉREZ,MATUTINO,2024-2025,09DPR4193U,DANIEL RAMIREZ PÉREZ,Primaria,XOCHIMILCO,-99.12149722,19.21893333,461,437,33.0435,19.222,0,62.4714,273,437,47.1396,206,437,36.3844,159,437,18.7462,353,51.2586,224,437,1.6522,80.778,353,437
09DPR2267H,MANUEL C. TELLO,MATUTINO,2024-2025 | 2025-2026,09DPR2267H,MANUEL C. TELLO,Primaria,IZTAPALAPA,-99.02779444,19.38387778,500,329,33.0091,0.304,0,56.8389,187,329,62.614,206,329,45.2888,149,329,19.4198,323,59.5745,196,329,1.6505,99.696,328,329
09DPR0977U,LIC. ERNESTO ENRIQUEZ,MATUTINO,2025-2026,09DPR0977U,LIC. ERNESTO ENRIQUEZ,Primaria,VENUSTIANO CARRANZA,-99.09784167,19.44365278,233,226,33.0088,2.6549,0,49.5575,112,226,74.7788,169,226,38.0531,86,226,17.9274,219,55.7522,126,226,1.6504,97.3451,220,226
09DPR1049N,INSURGENTE PEDRO MORENO,MATUTINO,2025-2026,09DPR1049N,INSURGENTE PEDRO MORENO,Primaria,IZTAPALAPA,-99.05126389,19.38991944,213,191,32.9843,0.5236,0,56.5445,108,191,61.7801,118,191,46.0733,88,191,20.6145,152,62.3037,119,191,1.6492,99.4764,190,191
09DPR3032A,ALBERTO EINSTEIN,VESPERTINO,2024-2025 | 2025-2026,09DPR3138U,ALBERTO EINSTEIN,Primaria,IZTAPALAPA,-98.9994,19.34212778,329,182,32.967,2.7473,0,60.4396,110,182,63.1868,115,182,38.4615,70,182,17.9466,176,55.4945,101,182,1.6484,97.2527,177,182
09DPR2109S,LEOPOLDO KIEL,MATUTINO,2024-2025 | 2025-2026,09DPR2109S,LEOPOLDO KIEL,Primaria,IZTAPALAPA,-99.04111111,19.39029722,586,162,32.963,2.4691,0,48.7654,79,162,71.6049,116,162,41.9753,68,162,17.9968,156,58.642,95,162,1.6481,97.5309,158,162
09DPR2650D,NICOLÁS GARCÍA DE SAN VICENTE,MATUTINO,2024-2025 | 2025-2026,09DPR2649O,NICOLÁS GARCÍA DE SAN VICENTE,Primaria,IZTAPALAPA,-98.99713056,19.36394722,398,317,32.8707,2.2082,0,64.3533,204,317,59.6215,189,317,38.1703,121,317,18.7385,275,59.9369,190,317,1.6435,97.7918,310,317
09DPR2184Z,TRINIDAD Y TOBAGO,MATUTINO,2024-2025 | 2025-2026,09DPR2184Z,TRINIDAD Y TOBAGO,Primaria,GUSTAVO A. MADERO,-99.08663333,19.47290278,241,230,32.8696,28.2609,0,38.2609,88,230,65.6522,151,230,32.1739,74,230,21.1115,165,50,115,230,1.6435,71.7391,165,230
09DPR1223D,REPÚBLICA DE BRASIL,MATUTINO,2025-2026,09DJN1115F,REPÚBLICA DE BRASIL,Preescolar,TLÁHUAC,-99.00451667,19.25905556,442,367,32.861,0.545,0,45.7766,168,367,69.7548,256,367,48.2289,177,367,18.9718,362,56.6757,208,367,1.6431,99.455,365,367
09DPR1924W,MELCHOR MUZQUIZ,MATUTINO,2024-2025 | 2025-2026,09DPR1924W,MELCHOR MUZQUIZ,Primaria,ÁLVARO OBREGÓN,-99.19110556,19.34251667,334,350,32.8571,0.5714,0,64.5714,226,350,52.8571,185,350,46.2857,162,350,18.7921,328,60,210,350,1.6429,99.4286,348,350
09DPR2538J,VICTOR MARIA FLORES,MATUTINO,2025-2026,09DPR2538J,VICTOR MARIA FLORES,Primaria,CUAUHTÉMOC,-99.15360833,19.42792222,157,137,32.8467,0,0,54.0146,74,137,68.6131,94,137,41.6058,57,137,19.3579,121,59.854,82,137,1.6423,100,137,137
09DPR1052A,PONCIANO QUIROZ HERRERA,MATUTINO,2024-2025 | 2025-2026,09DPR1052A,PONCIANO QUIROZ HERRERA,Primaria,IZTACALCO,-99.0733,19.39359444,385,312,32.8205,5.7692,0,43.5897,136,312,68.5897,214,312,46.1538,144,312,19.7468,293,58.3333,182,312,1.641,94.2308,294,312
09DPR1198V,TEOFILO CEDILLO GRANADOS,MATUTINO,2024-2025 | 2025-2026,09DBA0048E,TEOFILO CEDILLO GRANADOS,Adultos - Primaria,IZTAPALAPA,-99.09682222,19.35934722,449,264,32.803,4.1667,0,55.303,146,264,61.3636,162,264,43.1818,114,264,19.2289,239,56.0606,148,264,1.6402,95.8333,253,264
09DPR1907F,RUBEN DARIO,MATUTINO,2024-2025 | 2025-2026,09DPR1907F,RUBEN DARIO,Primaria,LA MAGDALENA CONTRERAS,-99.24196667,19.316625,495,464,32.8017,5.6034,0,37.069,172,464,80.1724,372,464,41.1638,191,464,18.7822,439,53.8793,250,464,1.6401,94.3966,438,464
09DPR2262M,ESTADO DE LESOTHO,MATUTINO,2024-2025 | 2025-2026,09DPR2262M,ESTADO DE LESOTHO,Primaria,IZTAPALAPA,-99.04795556,19.39475278,478,358,32.7933,0.5587,0,34.3575,123,358,79.8883,286,358,49.162,176,358,19.0665,355,60.3352,216,358,1.6397,99.4413,356,358
09DPR2271U,LOS DERECHOS DEL NIÑO,MATUTINO,2025-2026,09DPR2271U,LOS DERECHOS DEL NIÑO,Primaria,IZTAPALAPA,-99.03585,19.34562222,498,369,32.7913,2.168,0,48.5095,179,369,71.5447,264,369,41.7344,154,369,19.0228,359,57.1816,211,369,1.6396,97.832,361,369
09DPR0961T,PROFR. GONZALO PEÑA TRONCOSO,MATUTINO,2025-2026,09DPR0961T,PROFR. GONZALO PEÑA TRONCOSO,Primaria,VENUSTIANO CARRANZA,-99.07615556,19.41346389,303,277,32.7798,0,0,43.6823,121,277,73.2852,203,277,46.9314,130,277,19.7263,232,62.4549,173,277,1.639,100,277,277
09DPR1096Y,EL CHAMIZAL,MATUTINO,2024-2025 | 2025-2026,09DPR1096Y,EL CHAMIZAL,Primaria,MIGUEL HIDALGO,-99.21656389,19.43289722,289,299,32.7759,0.3344,0,52.8428,158,299,66.8896,200,299,43.8127,131,299,20.131,261,57.5251,172,299,1.6388,99.6656,298,299
09DPR1229Y,PLAN DE SAN LUIS,MATUTINO,2024-2025 | 2025-2026,09DPR2864E,PLAN DE SAN LUIS,Primaria,IZTAPALAPA,-99.10947778,19.34435,463,213,32.77,0.4695,0,48.8263,104,213,68.5446,146,213,46.0094,98,213,19.1469,207,58.6854,125,213,1.6385,99.5305,212,213
09DPR2205V,MARRUECOS,MATUTINO,2024-2025 | 2025-2026,09DPR2205V,MARRUECOS,Primaria,VENUSTIANO CARRANZA,-99.08576667,19.43855278,233,210,32.7619,4.7619,0,53.8095,113,210,58.5714,123,210,46.6667,98,210,19.5668,184,56.1905,118,210,1.6381,95.2381,200,210
09DPR2209R,REPÚBLICA DE ISLANDIA,VESPERTINO,2025-2026,09DPR2209R,REPÚBLICA DE ISLANDIA,Primaria,VENUSTIANO CARRANZA,-99.08748056,19.44231111,43,69,32.7536,43.4783,0,52.1739,36,69,50.7246,35,69,17.3913,12,69,18.0769,39,50.7246,35,69,1.6377,56.5217,39,69
09DPR2334P,ESTADO DE DURANGO,MATUTINO,2025-2026,09DPR2334P,ESTADO DE DURANGO,Primaria,CUAUHTÉMOC,-99.13395,19.44626667,404,371,32.7224,0,0,53.9084,200,371,62.8032,233,371,46.9003,174,371,19.9048,330,61.7251,229,371,1.6361,100,371,371
09DPR2056D,PLAN DE GUADALUPE,VESPERTINO,2024-2025,09DBA0165U,PLAN DE GUADALUPE,Adultos - Primaria,TLÁHUAC,-99.0369,19.29743333,340,222,32.7027,6.3063,0,51.3514,114,222,65.7658,146,222,40.0901,89,222,19.1601,208,56.7568,126,222,1.6351,93.6937,208,222
09DPR2329D,PROFR. DAVID VILCHIS,MATUTINO,2024-2025 | 2025-2026,09DPR2329D,PROFR. DAVID VILCHIS,Primaria,CUAUHTÉMOC,-99.13980278,19.46215556,243,211,32.7014,0.9479,0,49.763,105,211,76.3033,161,211,36.4929,77,211,18.5567,194,57.346,121,211,1.6351,99.0521,209,211
09DPR2435N,FRANCISCO GONZÁLEZ BOCANEGRA,MATUTINO,2024-2025 | 2025-2026,09DES4316G,FRANCISCO GONZÁLEZ BOCANEGRA,Secundaria,IZTAPALAPA,-99.02251667,19.33143056,137,137,32.7007,0.7299,0,63.5036,87,137,58.3942,80,137,40.8759,56,137,18.3886,114,59.854,82,137,1.635,99.2701,136,137
09DPR0837U,"""ESC. PRIM. ANEXA A LA BENM """"MANUEL M. ACOSTA""""""",VESPERTINO,2025-2026,09DPR0837U,"ESC. PRIM. ANEXA A LA BENM ""MANUEL M. ACOSTA""",Primaria,MIGUEL HIDALGO,-99.16828056,19.44533889,153,60,32.6667,0,0,58.3333,35,60,68.3333,41,60,36.6667,22,60,19.0017,60,51.6667,31,60,1.6333,100,60,60
09DPR2509O,ANDRES BELLO,MATUTINO,2024-2025 | 2025-2026,09DPR2509O,ANDRES BELLO,Primaria,CUAUHTÉMOC,-99.154525,19.44710556,426,406,32.6601,0.2463,0,53.4483,217,406,69.7044,283,406,39.9015,162,406,18.736,369,59.1133,240,406,1.633,99.7537,405,406
09DPR1773G,EL PIPILA,MATUTINO,2024-2025 | 2025-2026,09DPR1774F,EL PIPILA,Primaria,MIGUEL HIDALGO,-99.1921,19.412475,398,345,32.6377,0.2899,0,48.1159,166,345,75.6522,261,345,39.1304,135,345,19.101,286,59.4203,205,345,1.6319,99.7101,344,345
09DPR1122F,FELIPE CARRILLO PUERTO,MATUTINO,2024-2025 | 2025-2026,09DPR5075M,FELIPE CARRILLO PUERTO,Primaria,IZTAPALAPA,-99.06245556,19.32100278,254,209,32.6316,0,0,54.067,113,209,68.4211,143,209,40.6699,85,209,19.1228,180,59.8086,125,209,1.6316,100,209,209
09DPR1008N,24 DE FEBRERO,MATUTINO,2024-2025 | 2025-2026,09DPR2087X,24 DE FEBRERO,Primaria,IZTAPALAPA,-99.01290556,19.36859167,229,160,32.625,18.125,0,55.625,89,160,58.125,93,160,31.25,50,160,19.6282,103,56.25,90,160,1.6313,81.875,131,160
09DPR2896X,CANADA,MATUTINO,2025-2026,09DJN0732J,CANADA,Preescolar,IZTAPALAPA,-99.13153889,19.37596111,314,301,32.6246,0.3322,0,59.1362,178,301,61.794,186,301,41.8605,126,301,19.303,269,58.1395,175,301,1.6312,99.6678,300,301
09DPR4001O,PROFR. FELIPE LÓPEZ,VESPERTINO,2024-2025 | 2025-2026,09DPR4000P,PROFR. FELIPE LÓPEZ,Primaria,IZTAPALAPA,-99.02380556,19.33391389,189,103,32.6214,0.9709,0,76.699,79,103,56.3107,58,103,29.1262,30,103,18.2196,102,57.2816,59,103,1.6311,99.0291,102,103
09DPR1771I,CLUB DE LEONES NUMERO 8 ESTADO DE OAXACA,MATUTINO,2024-2025 | 2025-2026,09DPR1771I,CLUB DE LEONES NUMERO 8 ESTADO DE OAXACA,Primaria,MIGUEL HIDALGO,-99.18858056,19.40406389,268,252,32.619,0,0,53.9683,136,252,69.0476,174,252,40.0794,101,252,19.9917,230,60.3175,152,252,1.631,100,252,252
09DPR0922R,REPÚBLICA POPULAR CHINA,MATUTINO,2025-2026,09DES0118F,REPÚBLICA POPULAR CHINA,Secundaria,IZTAPALAPA,-99.07278333,19.31084167,139,100,32.6,1,0,64,64,100,66,66,100,32,32,100,18.5608,79,65,65,100,1.63,99,99,100
09DPR0846B,JOSÉ ARTURO PICHARDO,VESPERTINO,2024-2025 | 2025-2026,09DPR0847A,JOSÉ ARTURO PICHARDO,Primaria,AZCAPOTZALCO,-99.18842222,19.46781389,198,162,32.5926,7.4074,0,77.7778,126,162,41.9753,68,162,35.8025,58,162,18.0967,150,56.1728,91,162,1.6296,92.5926,150,162
09DPR2159Z,PROFR. VALENTÍN ZAMORA OROZCO,MATUTINO,2024-2025 | 2025-2026,09DPR2159Z,PROFR. VALENTÍN ZAMORA OROZCO,Primaria,GUSTAVO A. MADERO,-99.10213889,19.51055833,376,393,32.5191,25.6997,0,49.3639,194,393,56.4885,222,393,31.0433,122,393,18.9527,292,48.6005,191,393,1.626,74.3003,292,393
09DPR4521X,AARON CAMACHO LÓPEZ,VESPERTINO,2024-2025,09DPR4521X,AARON CAMACHO LÓPEZ,Primaria,XOCHIMILCO,-99.02798333,19.25085833,355,270,32.5185,17.4074,0,57.7778,156,270,47.7778,129,270,39.6296,107,270,18.2859,227,52.963,143,270,1.6259,82.5926,223,270
09DPR5120I,MIGUEL HIDALGO Y COSTILLA,VESPERTINO,2024-2025,09DJN0214Z,MIGUEL HIDALGO Y COSTILLA,Preescolar,GUSTAVO A. MADERO,-99.14521111,19.47839722,339,195,32.5128,0.5128,0,45.641,89,195,76.9231,150,195,39.4872,77,195,18.1835,194,60,117,195,1.6256,99.4872,194,195
09DPR1465A,MAESTRA DIONISIA ZAMORA PALLARES,MATUTINO,2024-2025 | 2025-2026,09DPR1465A,MAESTRA DIONISIA ZAMORA PALLARES,Primaria,MIGUEL HIDALGO,-99.21277222,19.44616667,368,325,32.4923,0,0,32.6154,106,325,85.2308,277,325,44.6154,145,325,18.707,302,60,195,325,1.6246,100,325,325
09DPR2343X,SARA MANZANO,MATUTINO,2024-2025 | 2025-2026,09DPR2343X,SARA MANZANO,Primaria,CUAUHTÉMOC,-99.12899167,19.43858333,240,221,32.4887,2.2624,0,43.4389,96,221,80.0905,177,221,36.6516,81,221,18.4005,190,55.6561,123,221,1.6244,97.7376,216,221
09DPR3090R,LAZARO CARDENAS,MATUTINO,2024-2025,09DPR3090R,LAZARO CARDENAS,Primaria,GUSTAVO A. MADERO,-99.15,19.54074722,524,516,32.4806,31.5891,0,42.0543,217,516,60.4651,312,516,28.2946,146,516,18.7139,353,51.7442,267,516,1.624,68.4109,353,516
09DPR5099W,FELIPE CARRILLO PUERTO,VESPERTINO,2024-2025 | 2025-2026,09DPR5075M,FELIPE CARRILLO PUERTO,Primaria,IZTAPALAPA,-99.06245556,19.32100278,254,130,32.4615,0.7692,0,65.3846,85,130,49.2308,64,130,46.9231,61,130,20.0625,128,56.9231,74,130,1.6231,99.2308,129,130
09DPR1073N,MTRO. JOSÉ MARIANO PONTON,VESPERTINO,2024-2025 | 2025-2026,09DPR1073N,MTRO. JOSÉ MARIANO PONTON,Primaria,VENUSTIANO CARRANZA,-99.08633611,19.41612222,59,53,32.4528,3.7736,0,54.717,29,53,60.3774,32,53,43.3962,23,53,19.2216,51,60.3774,32,53,1.6226,96.2264,51,53
09DPR2260O,JOSÉ MANCISIDOR ORTIZ,MATUTINO,2024-2025 | 2025-2026,09DPR2260O,JOSÉ MANCISIDOR ORTIZ,Primaria,IZTACALCO,-99.08062222,19.39634444,338,317,32.429,0.9464,0,66.877,212,317,52.9968,168,317,41.3249,131,317,18.6922,307,54.8896,174,317,1.6215,99.0536,314,317
09DPR2161O,PROFR. ALFONSO ANZORENA GONZÁLEZ,MATUTINO,2024-2025 | 2025-2026,09DPR2161O,PROFR. ALFONSO ANZORENA GONZÁLEZ,Primaria,GUSTAVO A. MADERO,-99.09924722,19.50765833,263,277,32.4188,24.5487,0,46.2094,128,277,56.6787,157,277,34.657,96,277,19.0746,209,51.2635,142,277,1.6209,75.4513,209,277
09DPR3000I,AÑO INTERNACIONAL DEL NIÑO,MATUTINO,2024-2025 | 2025-2026,09DPR3000I,AÑO INTERNACIONAL DEL NIÑO,Primaria,IZTAPALAPA,-98.99802222,19.366975,348,390,32.4103,0.5128,0,44.8718,175,390,75.3846,294,390,41.2821,161,390,19.6655,351,59.4872,232,390,1.6205,99.4872,388,390
09DPR2477M,GABINO BARREDA,MATUTINO,2025-2026,09PJN5055N,GABINO BARREDA,Preescolar,IZTAPALAPA,-99.001835,19.366569,166,152,32.3684,0,0,65.1316,99,152,59.8684,91,152,36.8421,56,152,20.357,114,58.5526,89,152,1.6184,100,152,152
09DPR2176Q,REPÚBLICA DE BIRMANIA,VESPERTINO,2024-2025 | 2025-2026,09DPR2176Q,REPÚBLICA DE BIRMANIA,Primaria,GUSTAVO A. MADERO,-99.06849444,19.47458056,113,76,32.3684,2.6316,0,48.6842,37,76,73.6842,56,76,36.8421,28,76,18.1135,74,56.5789,43,76,1.6184,97.3684,74,76
09DPR2950A,DR. CONRADO MENENDEZ MENA,VESPERTINO,2024-2025,09DPR2976I,DR. CONRADO MENENDEZ MENA,Primaria,CUAJIMALPA DE MORELOS,-99.25503333,19.38253611,107,81,32.3457,27.1605,0,49.3827,40,81,49.3827,40,81,35.8025,29,81,18.8475,59,53.0864,43,81,1.6173,72.8395,59,81
09DPR2450F,ERASMO CASTELLANOS QUINTO,MATUTINO,2024-2025 | 2025-2026,09PJN3988I,ERASMO CASTELLANOS QUINTO,Preescolar,IZTAPALAPA,-99.023579,19.341611,398,344,32.3256,0.5814,0,49.4186,170,344,63.9535,220,344,47.6744,164,344,19.3215,321,56.3953,194,344,1.6163,99.4186,342,344
09DPR5014Z,NUEVA ZELANDIA,VESPERTINO,2024-2025 | 2025-2026,09DPR5013Z,NUEVA ZELANDIA,Primaria,IZTAPALAPA,-98.97598056,19.33048889,661,315,32.3175,0.3175,0,54.9206,173,315,66.0317,208,315,40.3175,127,315,18.8265,313,58.7302,185,315,1.6159,99.6825,314,315
09DPR2649O,NICOLÁS GARCÍA DE SAN VICENTE,VESPERTINO,2025-2026,09DPR2649O,NICOLÁS GARCÍA DE SAN VICENTE,Primaria,IZTAPALAPA,-98.99713056,19.36394722,114,65,32.3077,0,0,75.3846,49,65,50.7692,33,65,35.3846,23,65,18.3733,60,58.4615,38,65,1.6154,100,65,65
09DPR0047I,PROFR. BRUNO MARTINEZ,VESPERTINO,2024-2025 | 2025-2026,09DPR0105I,PROFR. BRUNO MARTÍNEZ,Primaria,IZTAPALAPA,-99.02033056,19.33008056,279,39,32.3077,0,0,61.5385,24,39,53.8462,21,39,46.1538,18,39,19.8026,39,56.4103,22,39,1.6154,100,39,39
09DPR2833L,REPÚBLICA POPULAR SOCIALISTA DE ALBANIA,MATUTINO,2024-2025 | 2025-2026,09DPR2939E,REPÚBLICA POPULAR SOCIALISTA DE ALBANIA,Primaria,IZTAPALAPA,-99.02520556,19.35540556,407,317,32.3028,0,0,48.5804,154,317,70.6625,224,317,42.2713,134,317,18.6051,316,56.7823,180,317,1.6151,100,317,317
09DPR1984K,REPÚBLICA DE BULGARIA,MATUTINO,2024-2025 | 2025-2026,09DPR1984K,REPÚBLICA DE BULGARIA,Primaria,COYOACÁN,-99.17293333,19.34442778,264,174,32.2989,0,0,72.9885,127,174,39.6552,69,174,48.8506,85,174,19.092,174,59.7701,104,174,1.6149,100,174,174
09DPR5045S,CENTAURO DEL NORTE,MATUTINO,2024-2025 | 2025-2026,09DPR5055Z,CENTAURO DEL NORTE,Primaria,IZTAPALAPA,-99.07241389,19.29275556,514,296,32.2973,0.3378,0,59.7973,177,296,64.1892,190,296,37.1622,110,296,17.7514,290,56.7568,168,296,1.6149,99.6622,295,296
09DPR2820H,REPÚBLICA DE ARGELIA,VESPERTINO,2024-2025 | 2025-2026,09DPR2312D,REPÚBLICA DE ARGELIA,Primaria,IZTACALCO,-99.11891667,19.38267222,126,88,32.2727,0,0,92.0455,81,88,25,22,88,44.3182,39,88,19.272,82,53.4091,47,88,1.6136,100,88,88
09DPR2436M,ESTADO DE MICHOACÁN,MATUTINO,2024-2025 | 2025-2026,09DJN0245S,ESTADO DE MICHOACAN,Preescolar,CUAUHTÉMOC,-99.13014444,19.46014167,375,261,32.2605,21.0728,0,56.705,148,261,38.6973,101,261,44.8276,117,261,20.2158,203,49.4253,129,261,1.613,78.9272,206,261
09DPR1392Z,LIC. LAURO G. CALOCA,MATUTINO,2024-2025 | 2025-2026,09DPR1556S,LIC. LAURO G. CALOCA,Primaria,GUSTAVO A. MADERO,-99.10557222,19.486975,221,217,32.2581,17.9724,0,43.318,94,217,58.9862,128,217,41.0138,89,217,19.8586,152,54.3779,118,217,1.6129,82.0276,178,217
09DPR4222Z,HERMANOS FLORES MAGON,VESPERTINO,2024-2025 | 2025-2026,09DPR4222Z,HERMANOS FLORES MAGON,Primaria,IZTAPALAPA,-98.999125,19.34258611,265,183,32.2404,1.0929,0,44.2623,81,183,75.4098,138,183,40.4372,74,183,18.8451,175,56.2842,103,183,1.612,98.9071,181,183
09DPR3259F,DR. ANTONIO CASTRO LEAL,VESPERTINO,2025-2026,09DPR3258G,DR. ANTONIO CASTRO LEAL,Primaria,IZTAPALAPA,-99.03611944,19.38148889,101,72,32.2222,1.3889,0,45.8333,33,72,68.0556,49,72,45.8333,33,72,19.1193,57,61.1111,44,72,1.6111,98.6111,71,72
09DPR5062I,ACAHUALTEPEC,VESPERTINO,2025-2026,09DPR5062I,ACAHUALTEPEC,Primaria,IZTAPALAPA,-99.00918333,19.34266667,340,159,32.2013,0,0,72.956,116,159,47.1698,75,159,40.8805,65,159,18.3199,156,57.2327,91,159,1.6101,100,159,159
09DPR4101N,PROFR. LAUREANO JIMENEZ Y CORIA,VESPERTINO,2024-2025 | 2025-2026,09DPR4101N,PROFR. LAUREANO JIMENEZ Y CORIA,Primaria,GUSTAVO A. MADERO,-99.14146667,19.51338333,59,64,32.1875,29.6875,0,45.3125,29,64,57.8125,37,64,28.125,18,64,19.18,45,50,32,64,1.6094,70.3125,45,64
09DPR2248T,MARIANO HIDALGO,VESPERTINO,2024-2025 | 2025-2026,09DBA0223U,MARIANO HIDALGO,Adultos - Primaria,IZTAPALAPA,-99.00424444,19.35640278,260,204,32.1569,0,0,60.7843,124,204,68.6275,140,204,31.3725,64,204,18.2494,168,65.1961,133,204,1.6078,100,204,204
09DPR0937T,MTRO. LUIS CHAVEZ OROZCO,MATUTINO,2025-2026,09DPR0937T,MTRO. LUIS CHAVEZ OROZCO,Primaria,IZTACALCO,-99.09473611,19.39044722,350,311,32.09,0.3215,0,36.6559,114,311,77.1704,240,311,46.3023,144,311,19.5198,268,61.4148,191,311,1.6045,99.6785,310,311
09DPR2903Q,REPÚBLICA POPULAR DE POLONIA,VESPERTINO,2024-2025 | 2025-2026,09DPR2904P,REPÚBLICA POPULAR DE POLONIA,Primaria,IZTAPALAPA,-99.03894167,19.34530278,154,101,32.0792,0.9901,0,40.5941,41,101,70.297,71,101,48.5149,49,101,19.4061,98,52.4752,53,101,1.604,99.0099,100,101
09DPR1401Q,PROFR. CARLOS B. MUNGUIA,MATUTINO,2024-2025 | 2025-2026,09DPR1401Q,PROFR. CARLOS B. MUNGUIA,Primaria,GUSTAVO A. MADERO,-99.07864444,19.48583889,350,431,32.065,11.6009,0,48.2599,208,431,60.7889,262,431,39.6752,171,431,19.57,333,57.0766,246,431,1.6032,88.3991,381,431
