CVE_ESCUELA_ATENCION,NOM_ESCUELA_ATENCION,REF_TURNO_ATENCION,REF_CICLO_ESCOLAR,CLAVECCT,NOMBRE_INMUEBLE,NIVEL,alcaldia,longitud,latitud,NUM_MATRICULA_TOTAL_ESCUELA,registros_salud,prioridad_atencion,pct_incompleto,pct_no_asistio,pct_caries,casos_caries,registros_caries,pct_visual,casos_visual,registros_visual,pct_sobrepeso_obesidad,casos_sobrepeso_obesidad,registros_sobrepeso_obesidad,imc_promedio,registros_imc,pct_alertas_multiples,casos_alertas_multiples,registros_alertas_multiples,alertas_promedio,completitud,casos_completos,registros_completitud
09DPR5026D,MITLA,VESPERTINO,2024-2025 | 2025-2026,09DPR4514N,MITLA,Primaria,IZTAPALAPA,-99.06536389,19.29063611,124,69,40.5797,0,0,92.7536,64,69,73.913,51,69,36.2319,25,69,18.1328,67,79.7101,55,69,2.029,100,69,69
09DPR2764F,FRANCISCO DEL PASO Y TRONCOSO,MATUTINO,2024-2025 | 2025-2026,09DPR2764F,FRANCISCO DEL PASO Y TRONCOSO,Primaria,IZTAPALAPA,-99.07276667,19.30278333,422,253,40.5534,0.3953,0,65.2174,165,253,84.9802,215,253,52.1739,132,253,19.3841,252,79.4466,201,253,2.0277,99.6047,252,253
09DPR2933K,PROFRA. MARÍA ARIAS BERNAL,MATUTINO,2024-2025 | 2025-2026,09DPR2933K,PROFRA. MARÍA ARIAS BERNAL,Primaria,IZTAPALAPA,-99.02853333,19.36704722,443,311,40.3215,0.3215,0,66.881,208,311,84.8875,264,311,49.5177,154,311,19.214,307,77.492,241,311,2.0161,99.6785,310,311
09DPR1269Z,JUAN DE MATA RIVERA,VESPERTINO,2024-2025 | 2025-2026,09DPR1272M,JUAN DE MATA RIVERA,Primaria,IZTAPALAPA,-99.06681389,19.30647222,196,78,40.2564,3.8462,0,73.0769,57,78,80.7692,63,78,43.5897,34,78,19.2427,75,76.9231,60,78,2.0128,96.1538,75,78
09DPR1748H,AQUILES SERDAN,MATUTINO,2024-2025 | 2025-2026,09DSN0091X,AQUILES SERDÁN,Secundaria,IZTACALCO,-99.11754722,19.39253056,242,240,40.25,0.4167,0,77.0833,185,240,78.3333,188,240,45.4167,109,240,18.9836,207,78.3333,188,240,2.0125,99.5833,239,240
09DPR2659V,PROFR. ROBERTO OROPEZA NAJERA,MATUTINO,2024-2025 | 2025-2026,09DPR2659V,PROFR. ROBERTO OROPEZA NAJERA,Primaria,GUSTAVO A. MADERO,-99.06074444,19.47200556,349,218,40.1835,11.0092,0,66.5138,145,218,80.2752,175,218,43.1193,94,218,19.0974,194,70.1835,153,218,2.0092,88.9908,194,218
09DPR5035L,MIGUEL LERDO DE TEJADA,MATUTINO,2024-2025 | 2025-2026,09DPR5035L,MIGUEL LERDO DE TEJADA,Primaria,IZTAPALAPA,-99.05549444,19.37445833,478,363,40.1653,0.8264,0,71.0744,258,363,80.9917,294,363,47.9339,174,363,19.1396,359,78.2369,284,363,2.0083,99.1736,360,363
09DPR3296J,MANUEL RIVERA CAMBAS,MATUTINO,2024-2025 | 2025-2026,09DPR3297I,MANUEL RIVERA CAMBAS,Primaria,IZTAPALAPA,-99.01998611,19.3297,554,283,40,0.3534,0,75.6184,214,283,73.8516,209,283,50.1767,142,283,19.0695,282,78.4452,222,283,2,99.6466,282,283
09DPR2428D,ESTADO DE TAMAULIPAS,MATUTINO,2024-2025 | 2025-2026,09DJN1208V,ESTADO DE TAMAULIPAS,Preescolar,TLALPAN,-99.18485278,19.26017778,263,265,39.8491,0.3774,0,70.9434,188,265,83.0189,220,265,44.9057,119,265,19.0315,238,76.2264,202,265,1.9925,99.6226,264,265
09DPR4517K,UGANDA,MATUTINO,2024-2025 | 2025-2026,09DPR4517K,UGANDA,Primaria,IZTAPALAPA,-98.99111944,19.33673056,413,378,39.8413,0,0,61.6402,233,378,84.6561,320,378,52.9101,200,378,19.0536,377,75.9259,287,378,1.9921,100,378,378
09DPR2926A,RAZON Y FUERZA DE LA REVOLUCION MEXICANA,MATUTINO,2024-2025 | 2025-2026,09DPR2926A,RAZON Y FUERZA DE LA REVOLUCION MEXICANA,Primaria,IZTAPALAPA,-98.989675,19.34766389,415,366,39.8361,0,0,58.1967,213,366,90.9836,333,366,50,183,366,18.8339,363,75.1366,275,366,1.9918,100,366,366
09DPR5067D,XIUHZITZQUILI,MATUTINO,2024-2025 | 2025-2026,09DPR5068C,XIUHZITZQUILI,Primaria,IZTAPALAPA,-98.970025,19.32857778,534,442,39.7738,0.2262,0,69.0045,305,442,85.7466,379,442,43.8914,194,442,18.6739,441,74.6606,330,442,1.9887,99.7738,441,442
09DPR0836V,PROFR. ANGEL SALAS BONILLA,VESPERTINO,2024-2025 | 2025-2026,09DPR0836V,PROFR. ANGEL SALAS BONILLA,Primaria,IZTAPALAPA,-99.04865,19.34058611,119,57,39.6491,1.7544,0,84.2105,48,57,64.9123,37,57,47.3684,27,57,32.8661,56,75.4386,43,57,1.9825,98.2456,56,57
