CVE_ESCUELA_ATENCION,NOM_ESCUELA_ATENCION,REF_TURNO_ATENCION,REF_CICLO_ESCOLAR,prioridad_atencion,pct_incompleto,pct_caries,pct_visual,pct_sobrepeso_obesidad,imc_promedio,NUM_MATRICULA_TOTAL_ESCUELA_x,alertas_promedio,NUM_MATRICULA_TOTAL_ESCUELA_y,CLAVECCT,NOMBRE,longitud,latitud,alcaldia,NIVEL,completitud
09DPR1748H,AQUILES SERDAN,MATUTINO,2024-2025 | 2025-2026,40.25,0.4167,77.0833,78.3333,45.4167,18.9836,242.0,78.3333,242,09DSN0091X,AQUILES SERDÁN,-99.11754722,19.39253056,IZTACALCO,Secundaria,99.5833
09DPR2659V,PROFR. ROBERTO OROPEZA NAJERA,MATUTINO,2024-2025 | 2025-2026,40.1835,11.0092,66.5138,80.2752,43.1193,19.0974,349.0,70.1835,349,09DPR2659V,PROFR. ROBERTO OROPEZA NAJERA,-99.06074444,19.47200556,GUSTAVO A. MADERO,Primaria,88.99080000000001
09DPR5035L,MIGUEL LERDO DE TEJADA,MATUTINO,2024-2025 | 2025-2026,40.1653,0.8264,71.0744,80.9917,47.9339,19.1396,478.0,78.2369,478,09DPR5035L,MIGUEL LERDO DE TEJADA,-99.05549444,19.37445833,IZTAPALAPA,Primaria,99.1736
09DPR3296J,MANUEL RIVERA CAMBAS,MATUTINO,2024-2025 | 2025-2026,40.0,0.3534,75.6184,73.8516,50.1767,,,78.4452,554,09DPR3297I,MANUEL RIVERA CAMBAS,-99.01998611,19.3297,IZTAPALAPA,Primaria,99.6466
09DPR2428D,ESTADO DE TAMAULIPAS,MATUTINO,2024-2025 | 2025-2026,39.8491,0.3774,70.9434,83.0189,44.9057,,,76.2264,263,09DJN1208V,ESTADO DE TAMAULIPAS,-99.18485278,19.26017778,TLALPAN,Preescolar,99.6226
09DPR4517K,UGANDA,MATUTINO,2024-2025 | 2025-2026,39.8413,0.0,61.6402,84.6561,52.9101,19.0536,413.0,75.9259,413,09DPR4517K,UGANDA,-98.99111944,19.33673056,IZTAPALAPA,Primaria,100.0
09DPR2926A,RAZON Y FUERZA DE LA REVOLUCION MEXICANA,MATUTINO,2024-2025 | 2025-2026,39.8361,0.0,58.1967,90.9836,50.0,18.8339,415.0,75.1366,415,09DPR2926A,RAZON Y FUERZA DE LA REVOLUCION MEXICANA,-98.989675,19.34766389,IZTAPALAPA,Primaria,100.0
09DPR5067D,XIUHZITZQUILI,MATUTINO,2024-2025 | 2025-2026,39.7738,0.2262,69.0045,85.7466,43.8914,18.6739,534.0,74.6606,534,09DPR5068C,XIUHZITZQUILI,-98.970025,19.32857778,IZTAPALAPA,Primaria,99.7738
09DPR0836V,PROFR. ANGEL SALAS BONILLA,VESPERTINO,2024-2025 | 2025-2026,39.6491,1.7544,84.2105,64.9123,47.3684,32.8661,119.0,75.4386,119,09DPR0836V,PROFR. ANGEL SALAS BONILLA,-99.04865,19.34058611,IZTAPALAPA,Primaria,98.2456
09DPR5063H,TLALOC,MATUTINO,2025-2026,39.6244,0.0,91.5493,59.1549,47.4178,19.3406,417.0,74.1784,417,09DPR5063H,TLALOC,-99.05151944,19.36743889,IZTAPALAPA,Primaria,100.0
09DPR1271N,JOSÉ MARIANO JIMÉNEZ,MATUTINO,2025-2026,39.5636,0.7273,65.0909,82.5455,49.4545,19.3974,394.0,76.0,394,09DPR1273L,JOSÉ MARIANO JIMÉNEZ,-99.04294167,19.34623889,IZTAPALAPA,Primaria,99.2727
09DPR2829Z,EJERCITO DE ORIENTE,VESPERTINO,2024-2025 | 2025-2026,39.375,0.0,71.875,87.5,37.5,18.2844,153.0,75.0,153,09DPR2829Z,EJERCITO DE ORIENTE,-99.02777778,19.36786389,IZTAPALAPA,Primaria,100.0
09DPR3023T,PROFR. EMILIANO NEGRETE LÓPEZ,VESPERTINO,2024-2025 | 2025-2026,39.3333,0.6667,68.6667,75.3333,52.0,19.1322,231.0,70.6667,231,09DPR3023T,PROFR. EMILIANO NEGRETE LÓPEZ,-99.02243611,19.34180556,IZTAPALAPA,Primaria,99.3333
09DPR5077K,WENCESLAO VICTORIA SOTO,MATUTINO,2024-2025 | 2025-2026,39.3333,10.0,65.6667,84.1667,36.8333,19.4952,597.0,73.0,597,09DES0340F,WENCESLAO VICTORIA SOTO,-99.12645,19.54914167,GUSTAVO A. MADERO,Secundaria,90.0
09DPR2806O,LIC. JOSÉ MA. LAFRAGUA,VESPERTINO,2025-2026,39.1597,2.521,72.2689,87.395,33.6134,18.4292,170.0,74.7899,170,09DPR2806O,LIC. JOSÉ MA. LAFRAGUA,-99.01598889,19.3567,IZTAPALAPA,Primaria,97.479
09DPR1013Z,U. R. S. S.,MATUTINO,2024-2025 | 2025-2026,39.1406,1.5625,49.2188,78.9062,66.0156,21.1524,355.0,73.0469,355,09DPR1013Z,U. R. S. S.,-99.05733333,19.39363333,IZTAPALAPA,Primaria,98.4375
09DPR0051V,GENARO GARCÍA,MATUTINO,2024-2025 | 2025-2026,39.011,1.9231,67.3077,75.2747,50.5495,19.4451,510.0,71.4286,510,09DPR0051V,GENARO GARCÍA,-99.073425,19.31105278,IZTAPALAPA,Primaria,98.0769
